Date,Open,High,Low,Close,Volume,Adj Close
2016-04-28,14.92,15.08,14.76,14.79,76756800,14.79
2016-04-27,15.02,15.30,14.98,15.02,106365700,15.02
2016-04-26,15.02,15.14,14.80,15.09,84552000,15.09
2016-04-25,15.02,15.14,14.81,14.96,69359500,14.96
2016-04-22,14.87,15.14,14.87,15.11,80379300,15.11
2016-04-21,14.93,15.14,14.75,14.90,119544400,14.90
2016-04-20,14.56,14.94,14.53,14.93,109067200,14.93
2016-04-19,14.26,14.54,14.24,14.45,101249800,14.45
2016-04-18,13.85,14.24,13.82,14.17,80257400,14.17
2016-04-15,14.27,14.29,13.95,14.00,87080700,14.00
2016-04-14,13.71,14.28,13.70,14.14,178637200,14.14
2016-04-13,13.55,13.85,13.53,13.79,136046700,13.79
2016-04-12,13.00,13.33,12.93,13.27,97788700,13.27
2016-04-11,12.92,13.09,12.88,12.97,79072000,12.97
2016-04-08,13.03,13.14,12.86,12.88,76254100,12.88
2016-04-07,13.15,13.21,12.75,12.85,104520900,12.85
2016-04-06,13.20,13.30,13.11,13.27,62146600,13.27
2016-04-05,13.30,13.34,13.16,13.19,77915100,13.19
2016-04-04,13.54,13.65,13.41,13.51,59547500,13.51
2016-04-01,13.47,13.65,13.32,13.56,72591200,13.56
2016-03-31,13.49,13.71,13.45,13.52,78735100,13.52
2016-03-30,13.49,13.66,13.46,13.48,85666100,13.48
2016-03-29,13.54,13.54,13.26,13.42,100934700,13.42
2016-03-28,13.73,13.74,13.54,13.62,53894900,13.62
2016-03-24,13.41,13.69,13.27,13.68,94548500,13.68
2016-03-23,13.77,13.83,13.60,13.62,95209700,13.62
2016-03-22,13.67,13.84,13.63,13.76,82870700,13.76
2016-03-21,13.80,14.03,13.72,13.84,103906000,13.84
2016-03-18,13.68,13.88,13.55,13.79,145037500,13.79
2016-03-17,13.22,13.48,13.05,13.40,121732700,13.40
2016-03-16,13.51,13.81,13.09,13.31,148489100,13.31
2016-03-15,13.51,13.60,13.39,13.57,79897700,13.57
2016-03-14,13.72,13.74,13.49,13.64,87470900,13.64
2016-03-11,13.44,13.84,13.37,13.79,116651300,13.79
2016-03-10,13.23,13.40,13.00,13.27,123016200,13.27
2016-03-09,13.17,13.27,13.00,13.14,91714900,13.14
2016-03-08,13.40,13.47,13.05,13.06,124883300,13.06
2016-03-07,13.45,13.62,13.37,13.53,97155200,13.53
2016-03-04,13.76,13.89,13.49,13.54,170377600,13.54
2016-03-03,13.38,13.55,13.25,13.50,105082700,13.50
2016-03-02,13.20,13.51,13.13,13.41,139622500,13.41
2016-03-01,12.64,13.21,12.62,13.19,153558200,13.14
2016-02-29,12.70,12.86,12.51,12.52,123661100,12.47254
2016-02-26,12.49,12.95,12.40,12.70,160314400,12.651857
2016-02-25,12.14,12.33,12.09,12.32,103054600,12.273298
2016-02-24,11.96,12.15,11.65,12.13,159552800,12.084018
2016-02-23,12.47,12.48,12.10,12.16,104498700,12.113904
2016-02-22,12.13,12.54,12.13,12.54,88865500,12.492464
2016-02-19,12.22,12.24,11.98,12.13,121045600,12.084018
2016-02-18,12.71,12.74,12.10,12.24,161539400,12.193601
2016-02-17,12.57,12.69,12.47,12.56,221859400,12.512389
2016-02-16,12.38,12.39,12.11,12.25,194306700,12.203563
2016-02-12,11.48,12.03,11.40,11.95,245388400,11.904701
2016-02-11,11.46,11.55,10.99,11.16,375088700,11.117695
2016-02-10,12.42,12.54,11.91,11.98,227530000,11.934587
2016-02-09,11.99,12.43,11.96,12.20,247349000,12.153753
2016-02-08,12.67,12.70,12.13,12.27,221363600,12.223488
2016-02-05,13.32,13.39,12.89,12.95,125842800,12.90091
2016-02-04,12.89,13.59,12.89,13.25,179394400,13.199773
2016-02-03,13.28,13.29,12.52,13.03,257664600,12.980606
2016-02-02,13.74,13.75,13.13,13.23,147101200,13.179848
2016-02-01,14.05,14.09,13.80,13.96,105739400,13.907081
2016-01-29,13.66,14.15,13.59,14.14,159984100,14.086399
2016-01-28,13.59,13.71,13.26,13.53,110996200,13.478711
2016-01-27,13.20,13.73,13.19,13.36,124095800,13.309355
2016-01-26,13.07,13.35,13.04,13.31,124246900,13.259546
2016-01-25,13.54,13.55,12.94,12.96,186419100,12.910872
2016-01-22,13.65,13.72,13.47,13.56,169999800,13.508598
2016-01-21,13.67,13.84,13.25,13.36,188976000,13.309355
2016-01-20,13.79,14.00,13.27,13.69,250537600,13.638104
2016-01-19,14.69,14.79,14.01,14.24,185727400,14.18602
2016-01-15,14.41,14.66,14.13,14.46,172296100,14.405186
2016-01-14,15.01,15.20,14.65,14.99,125920000,14.933177
2016-01-13,15.47,15.52,14.85,14.90,119413000,14.843518
2016-01-12,15.54,15.58,15.06,15.31,100023500,15.251964
2016-01-11,15.26,15.37,14.94,15.31,104611700,15.251964
2016-01-08,15.94,15.94,15.16,15.20,124782400,15.142381
2016-01-07,15.73,15.90,15.44,15.50,116255900,15.441244
2016-01-06,16.190001,16.290001,16.02,16.08,102760800,16.019045
2016-01-05,16.52,16.59,16.23,16.43,66670000,16.367719
2016-01-04,16.450001,16.49,16.25,16.43,114888000,16.367719
2015-12-31,17.01,17.07,16.83,16.83,47153000,16.766202
2015-12-30,17.200001,17.24,17.040001,17.049999,35066400,16.985367
2015-12-29,17.25,17.35,17.16,17.280001,45670400,17.214497
2015-12-28,17.219999,17.23,16.98,17.129999,41777500,17.065064
2015-12-24,17.32,17.379999,17.219999,17.27,29373400,17.204534
2015-12-23,17.16,17.34,17.10,17.34,65770700,17.274269
2015-12-22,17.049999,17.110001,16.85,17.08,56173500,17.015254
2015-12-21,16.98,17.030001,16.77,16.969999,65150300,16.905671
2015-12-18,17.190001,17.27,16.76,16.76,136737800,16.696467
2015-12-17,17.799999,17.83,17.299999,17.299999,97265700,17.23442
2015-12-16,17.65,17.780001,17.23,17.75,171576700,17.682714
2015-12-15,17.02,17.49,16.99,17.42,99289600,17.353965
2015-12-14,16.76,16.889999,16.50,16.799999,121121200,16.736315
2015-12-11,16.969999,17.059999,16.639999,16.73,91503900,16.666581
2015-12-10,17.15,17.41,16.959999,17.200001,68395000,17.1348
2015-12-09,17.110001,17.379999,16.870001,17.10,82418100,17.035179
2015-12-08,17.389999,17.459999,17.129999,17.190001,84873500,17.124838
2015-12-07,17.790001,17.799999,17.440001,17.540001,81633300,17.473511
2015-12-04,17.440001,17.83,17.379999,17.799999,103021700,17.732524
2015-12-03,17.68,17.77,17.25,17.299999,95810100,17.23442
2015-12-02,17.879999,17.889999,17.549999,17.620001,76919000,17.553208
2015-12-01,17.52,17.809999,17.48,17.809999,74351800,17.692676
2015-11-30,17.48,17.58,17.42,17.43,61893700,17.31518
2015-11-27,17.459999,17.50,17.33,17.48,22937500,17.36485
2015-11-25,17.51,17.57,17.41,17.440001,34939000,17.325114
2015-11-24,17.26,17.57,17.25,17.469999,58724200,17.354916
2015-11-23,17.620001,17.73,17.459999,17.469999,50362900,17.354916
2015-11-20,17.809999,17.83,17.59,17.65,56288300,17.53373
2015-11-19,17.780001,17.85,17.620001,17.690001,51829700,17.573468
2015-11-18,17.43,17.870001,17.43,17.84,85708300,17.722479
2015-11-17,17.50,17.60,17.34,17.42,70488600,17.305246
2015-11-16,17.129999,17.459999,17.01,17.43,70384300,17.31518
2015-11-13,17.129999,17.309999,17.09,17.200001,103574900,17.086696
2015-11-12,17.58,17.629999,17.35,17.370001,77850900,17.255576
2015-11-11,17.99,17.99,17.68,17.75,59235000,17.633072
2015-11-10,17.629999,17.940001,17.559999,17.85,59905800,17.732413
2015-11-09,18.030001,18.08,17.559999,17.68,129920700,17.563533
2015-11-06,17.84,18.09,17.76,17.950001,158037500,17.831755
2015-11-05,17.030001,17.370001,17.030001,17.309999,85505500,17.19597
2015-11-04,17.299999,17.309999,16.959999,17.01,78728400,16.897947
2015-11-03,17.01,17.26,16.99,17.18,66127100,17.066827
2015-11-02,16.90,17.139999,16.870001,17.059999,56948200,16.947617
2015-10-30,17.18,17.18,16.76,16.780001,87645800,16.669462
2015-10-29,17.16,17.440001,16.969999,17.09,95542300,16.97742
2015-10-28,16.450001,17.309999,16.450001,17.280001,147720100,17.166169
2015-10-27,16.40,16.469999,16.299999,16.40,56159300,16.291965
2015-10-26,16.52,16.549999,16.34,16.51,67702800,16.401241
2015-10-23,16.290001,16.549999,16.25,16.52,82285800,16.411175
2015-10-22,16.00,16.200001,16.00,16.16,74116600,16.053546
2015-10-21,16.26,16.290001,15.90,15.90,64440400,15.795258
2015-10-20,16.16,16.290001,16.10,16.200001,50797800,16.093283
2015-10-19,16.00,16.209999,15.98,16.139999,62953500,16.033677
2015-10-16,16.290001,16.290001,16.030001,16.120001,66791000,16.01381
2015-10-15,15.81,16.280001,15.72,16.190001,127028800,16.083349
2015-10-14,15.77,15.92,15.55,15.64,122272400,15.536972
2015-10-13,15.45,15.59,15.40,15.52,73689800,15.417762
2015-10-12,15.60,15.62,15.43,15.52,50725800,15.417762
2015-10-09,15.75,15.82,15.50,15.58,76667100,15.477367
2015-10-08,15.72,15.78,15.51,15.75,79056900,15.646247
2015-10-07,15.78,15.93,15.57,15.75,66655600,15.646247
2015-10-06,15.68,15.82,15.57,15.69,67473700,15.586642
2015-10-05,15.45,15.79,15.44,15.69,75315300,15.586642
2015-10-02,15.08,15.38,14.63,15.38,181838400,15.278684
2015-10-01,15.52,15.64,15.36,15.55,71516800,15.447564
2015-09-30,15.55,15.60,15.32,15.58,71347100,15.477367
2015-09-29,15.50,15.53,15.25,15.35,79829400,15.248882
2015-09-28,15.79,15.82,15.38,15.47,91324300,15.368092
2015-09-25,15.88,16.02,15.81,15.89,88655000,15.785325
2015-09-24,15.54,15.62,15.40,15.55,99520100,15.447564
2015-09-23,15.60,15.85,15.58,15.72,78117500,15.616445
2015-09-22,15.49,15.58,15.45,15.57,92235200,15.467432
2015-09-21,15.67,15.75,15.57,15.70,79096200,15.596576
2015-09-18,15.68,15.71,15.50,15.56,136531200,15.457499
2015-09-17,16.290001,16.48,15.78,15.86,119088200,15.755522
2015-09-16,16.35,16.389999,16.09,16.33,83776400,16.222426
2015-09-15,16.040001,16.389999,16.01,16.309999,62327100,16.202557
2015-09-14,15.97,16.07,15.90,15.96,50640900,15.854863
2015-09-11,15.99,16.059999,15.90,16.040001,54287700,15.934337
2015-09-10,15.87,16.110001,15.81,16.040001,71110200,15.934337
2015-09-09,16.370001,16.459999,15.83,15.90,70466100,15.795258
2015-09-08,15.96,16.16,15.90,16.16,73960200,16.053546
2015-09-04,15.79,15.86,15.50,15.65,104539500,15.546905
2015-09-03,15.97,16.190001,15.87,15.94,77175800,15.834995
2015-09-02,15.82,15.86,15.57,15.85,74820400,15.745588
2015-09-01,15.95,16.049999,15.46,15.58,119064000,15.427695
2015-08-31,16.33,16.379999,16.18,16.34,66695200,16.180266
2015-08-28,16.40,16.440001,16.200001,16.360001,75899300,16.200071
2015-08-27,16.379999,16.450001,16.09,16.440001,124185400,16.279289
2015-08-26,15.81,16.059999,15.34,16.059999,174208500,15.903003
2015-08-25,16.200001,16.200001,15.25,15.26,194377000,15.110824
2015-08-24,15.02,15.98,14.60,15.29,214649500,15.14053
2015-08-21,16.200001,16.66,16.10,16.10,148874300,15.942613
2015-08-20,17.190001,17.200001,16.719999,16.719999,149185400,16.556551
2015-08-19,17.549999,17.690001,17.440001,17.459999,78540500,17.289316
2015-08-18,17.719999,17.90,17.65,17.690001,50360700,17.517069
2015-08-17,17.610001,17.809999,17.559999,17.77,42310000,17.596287
2015-08-14,17.57,17.700001,17.540001,17.700001,52710300,17.526972
2015-08-13,17.559999,17.690001,17.440001,17.620001,67456200,17.447754
2015-08-12,17.620001,17.65,17.02,17.52,141600100,17.348731
2015-08-11,17.85,17.969999,17.719999,17.790001,65868600,17.616092
2015-08-10,17.870001,18.049999,17.860001,18.040001,65791200,17.863648
