Date,Open,High,Low,Close,Volume,Adj Close
2016-04-28,28.450001,28.59,27.790001,27.959999,28927400,27.959999
2016-04-27,28.440001,28.65,28.309999,28.639999,20791600,28.639999
2016-04-26,28.27,28.49,28.219999,28.450001,18022800,28.450001
2016-04-25,28.110001,28.280001,27.98,28.23,16434800,28.23
2016-04-22,28.299999,28.549999,28.07,28.15,23147600,28.15
2016-04-21,28.42,28.51,28.16,28.24,17339900,28.24
2016-04-20,28.40,28.68,28.26,28.440001,19937800,28.440001
2016-04-19,28.33,28.440001,28.200001,28.33,20307700,28.33
2016-04-18,27.90,28.25,27.799999,28.190001,15762900,28.190001
2016-04-15,28.10,28.129999,27.73,27.90,23804400,27.90
2016-04-14,28.379999,28.40,28.10,28.25,15049100,28.25
2016-04-13,27.959999,28.280001,27.719999,28.23,25433300,28.23
2016-04-12,27.139999,27.66,26.950001,27.639999,27741400,27.639999
2016-04-11,27.879999,28.18,27.610001,27.620001,18762900,27.620001
2016-04-08,27.709999,27.950001,27.58,27.690001,14495600,27.690001
2016-04-07,27.90,27.90,27.530001,27.60,17016800,27.60
2016-04-06,27.700001,28.040001,27.620001,28.00,20395800,28.00
2016-04-05,27.639999,27.83,27.459999,27.58,24245700,27.58
2016-04-04,28.370001,28.41,28.01,28.139999,17890000,28.139999
2016-04-01,28.299999,28.700001,28.120001,28.690001,23026400,28.43
2016-03-31,28.530001,28.67,28.35,28.469999,18377600,28.211993
2016-03-30,28.34,28.68,28.26,28.459999,19390200,28.202083
2016-03-29,27.870001,28.190001,27.690001,28.10,17139300,27.845347
2016-03-28,27.99,28.030001,27.790001,27.90,12785900,27.647158
2016-03-24,27.77,28.01,27.59,27.959999,15871900,27.706614
2016-03-23,28.26,28.280001,27.73,27.83,19217500,27.577793
2016-03-22,28.200001,28.379999,27.90,28.280001,23599300,28.023716
2016-03-21,28.10,28.35,28.040001,28.190001,23799200,27.934531
2016-03-18,28.23,28.379999,27.969999,28.33,43132400,28.073262
2016-03-17,27.92,28.440001,27.870001,28.190001,28501900,27.934531
2016-03-16,27.52,27.950001,27.51,27.879999,19087800,27.627339
2016-03-15,27.48,27.690001,27.450001,27.66,16917200,27.409334
2016-03-14,27.82,27.860001,27.60,27.700001,18291700,27.448972
2016-03-11,27.82,27.91,27.67,27.860001,21873100,27.607522
2016-03-10,27.76,27.98,27.030001,27.379999,33327300,27.13187
2016-03-09,27.24,27.799999,27.120001,27.610001,38890200,27.359787
2016-03-08,26.969999,27.299999,26.690001,27.049999,23821300,26.804861
2016-03-07,26.58,27.18,26.33,27.139999,21500100,26.894046
2016-03-04,26.92,26.959999,26.67,26.799999,19429900,26.557127
2016-03-03,26.950001,26.969999,26.59,26.870001,19002200,26.626494
2016-03-02,26.799999,26.91,26.60,26.90,19020100,26.656221
2016-03-01,26.450001,26.93,26.24,26.83,25245400,26.586855
2016-02-29,26.42,26.65,26.15,26.18,24763100,25.942746
2016-02-26,26.799999,26.85,26.32,26.41,18113000,26.170662
2016-02-25,26.49,26.60,26.200001,26.60,18655100,26.35894
2016-02-24,25.889999,26.33,25.65,26.32,22960800,26.081477
2016-02-23,26.540001,26.540001,26.059999,26.120001,28097500,25.883291
2016-02-22,26.870001,26.91,26.42,26.629999,24608100,26.388667
2016-02-19,26.27,26.559999,26.25,26.549999,28791700,26.309392
2016-02-18,26.440001,26.58,26.280001,26.43,31288200,26.190481
2016-02-17,26.17,26.59,26.08,26.459999,36904700,26.220208
2016-02-16,25.27,25.98,25.190001,25.84,40401700,25.605827
2016-02-12,24.889999,25.360001,24.52,25.110001,49753600,24.882444
2016-02-11,24.09,24.969999,24.09,24.68,92696000,24.45634
2016-02-10,23.129999,23.129999,22.459999,22.51,36896100,22.306005
2016-02-09,22.60,22.860001,22.530001,22.65,30767200,22.444736
2016-02-08,22.629999,23.02,22.48,22.93,38842100,22.722199
2016-02-05,23.51,23.66,22.809999,22.889999,32641000,22.682561
2016-02-04,23.17,23.57,22.93,23.540001,29280500,23.326672
2016-02-03,23.09,23.18,22.58,23.10,32231400,22.890659
2016-02-02,23.23,23.25,22.73,22.83,36203700,22.623105
2016-02-01,23.459999,23.57,23.23,23.48,24006400,23.267214
2016-01-29,23.40,23.799999,23.200001,23.790001,39692600,23.574406
2016-01-28,23.73,23.790001,22.98,23.110001,31833500,22.900568
2016-01-27,23.690001,23.90,23.299999,23.43,24654000,23.217668
2016-01-26,23.24,23.85,23.24,23.719999,25162200,23.505039
2016-01-25,23.379999,23.52,23.139999,23.17,64066100,22.960024
2016-01-22,23.60,23.639999,22.99,23.370001,55049000,23.158212
2016-01-21,23.09,23.450001,22.870001,22.90,46267900,22.69247
2016-01-20,23.40,23.51,22.469999,22.90,83632400,22.69247
2016-01-19,23.799999,24.030001,23.59,23.85,52533500,23.633862
2016-01-15,23.93,24.43,23.57,23.620001,64092800,23.405947
2016-01-14,24.690001,24.90,24.459999,24.66,42902400,24.436521
2016-01-13,25.42,25.52,24.57,24.60,33431600,24.377065
2016-01-12,25.51,25.57,25.030001,25.35,30122400,25.120268
2016-01-11,24.93,25.35,24.93,25.27,32346900,25.040993
2016-01-08,25.549999,25.629999,24.719999,24.780001,28609700,24.555434
2016-01-07,25.49,25.74,25.120001,25.41,43235400,25.179724
2016-01-06,26.08,26.139999,25.82,26.01,30799800,25.774287
2016-01-05,26.540001,26.66,26.18,26.290001,22024900,26.05175
2016-01-04,26.389999,26.42,25.879999,26.41,35827100,26.170662
2015-12-31,27.379999,27.450001,27.139999,27.16,17041500,26.705768
