Date,Open,High,Low,Close,Volume,Adj Close
2016-04-28,8.21,8.30,8.20,8.21,4180100,8.21
2016-04-27,8.26,8.31,8.21,8.27,7539600,8.27
2016-04-26,8.30,8.31,8.20,8.23,7448600,8.23
2016-04-25,8.22,8.22,8.11,8.13,10419000,8.13
2016-04-22,8.27,8.30,8.23,8.29,15379900,8.29
2016-04-21,8.58,8.59,8.23,8.27,15282300,8.27
2016-04-20,9.72,9.86,9.66,9.75,5716500,9.75
2016-04-19,9.80,9.81,9.73,9.77,2767900,9.77
2016-04-18,9.59,9.65,9.58,9.65,4008400,9.65
2016-04-15,9.63,9.67,9.59,9.63,3619000,9.63
2016-04-14,9.74,9.77,9.70,9.73,7641200,9.73
2016-04-13,10.13,10.20,10.08,10.16,2587200,9.731
2016-04-12,9.90,9.95,9.82,9.90,2866900,9.481978
2016-04-11,10.11,10.17,10.03,10.05,3331300,9.625645
2016-04-08,10.02,10.07,9.97,10.04,2965700,9.616067
2016-04-07,9.93,9.95,9.80,9.82,2892600,9.405356
2016-04-06,9.80,9.96,9.78,9.96,6352400,9.539445
2016-04-05,9.77,9.84,9.73,9.75,9518500,9.338312
2016-04-04,10.08,10.10,10.04,10.04,5998900,9.616067
2016-04-01,9.92,10.06,9.91,10.05,7099300,9.625645
2016-03-31,10.00,10.06,9.99,10.03,2706500,9.606489
2016-03-30,10.05,10.10,10.01,10.05,5150000,9.625645
2016-03-29,9.53,9.77,9.52,9.74,2625100,9.328734
2016-03-28,9.59,9.61,9.54,9.56,3013100,9.156335
2016-03-24,9.52,9.55,9.40,9.54,2713200,9.137179
2016-03-23,9.76,9.77,9.61,9.63,1671400,9.223379
2016-03-22,9.65,9.83,9.64,9.80,1750000,9.386201
2016-03-21,9.76,9.82,9.70,9.75,2523900,9.338312
2016-03-18,9.68,9.86,9.66,9.82,3004100,9.405356
2016-03-17,9.59,9.74,9.58,9.68,2788800,9.271268
2016-03-16,9.43,9.64,9.42,9.62,1998200,9.213801
2016-03-15,9.47,9.53,9.45,9.52,2841600,9.118024
2016-03-14,9.46,9.51,9.41,9.49,1841800,9.08929
2016-03-11,9.39,9.46,9.36,9.45,2175400,9.050979
2016-03-10,9.24,9.33,9.14,9.18,2515500,8.79238
2016-03-09,9.28,9.30,9.21,9.25,2208100,8.859424
2016-03-08,9.30,9.31,9.22,9.25,1735100,8.859424
2016-03-07,9.28,9.38,9.26,9.36,1937200,8.964779
2016-03-04,9.32,9.39,9.23,9.33,3443200,8.936046
2016-03-03,9.22,9.36,9.22,9.35,2442700,8.955202
2016-03-02,9.28,9.31,9.19,9.30,2254600,8.907313
2016-03-01,9.21,9.38,9.20,9.34,3622500,8.945624
2016-02-29,9.23,9.28,9.17,9.18,1655000,8.79238
2016-02-26,9.32,9.32,9.18,9.20,4903000,8.811535
2016-02-25,9.20,9.36,9.14,9.34,2791500,8.945624
2016-02-24,9.06,9.24,9.04,9.21,2320700,8.821113
2016-02-23,9.29,9.30,9.19,9.22,2701500,8.830691
2016-02-22,9.33,9.39,9.31,9.33,2317400,8.936046
2016-02-19,9.22,9.24,9.16,9.23,3855200,8.840268
2016-02-18,9.30,9.31,9.20,9.26,4444400,8.869002
2016-02-17,9.05,9.18,9.05,9.16,4707000,8.773224
2016-02-16,8.99,9.09,8.92,9.06,4454500,8.677447
2016-02-12,8.58,8.73,8.57,8.71,2674700,8.342225
2016-02-11,8.57,8.60,8.46,8.54,3516100,8.179404
2016-02-10,8.63,8.73,8.61,8.62,5229300,8.256026
2016-02-09,8.44,8.63,8.43,8.56,4431800,8.198559
2016-02-08,8.65,8.68,8.50,8.61,4140600,8.246448
2016-02-05,8.88,8.90,8.76,8.76,3451900,8.390114
2016-02-04,8.82,8.97,8.80,8.92,2573600,8.543358
2016-02-03,8.82,8.83,8.63,8.79,4377300,8.418847
2016-02-02,8.61,8.64,8.51,8.54,4603400,8.179404
2016-02-01,8.73,8.79,8.68,8.78,6192800,8.409269
2016-01-29,8.71,8.91,8.69,8.90,5405400,8.524202
2016-01-28,8.83,8.84,8.68,8.75,6245000,8.380536
2016-01-27,9.00,9.11,8.95,8.99,7488900,8.610402
2016-01-26,9.54,9.64,9.50,9.61,5686800,9.204223
2016-01-25,9.32,9.40,9.29,9.33,4207200,8.936046
2016-01-22,9.25,9.37,9.22,9.34,4631600,8.945624
2016-01-21,8.61,8.83,8.56,8.78,3876800,8.409269
2016-01-20,8.76,8.86,8.62,8.80,5087900,8.428425
2016-01-19,9.09,9.12,8.81,8.87,9315000,8.495469
2016-01-15,8.63,8.74,8.55,8.69,10299800,8.323069
2016-01-14,9.11,9.29,9.04,9.22,3313600,8.830691
2016-01-13,9.29,9.36,9.10,9.10,3263500,8.715758
2016-01-12,9.27,9.32,9.14,9.24,4355700,8.849846
2016-01-11,9.20,9.22,9.10,9.19,3813400,8.801957
2016-01-08,9.20,9.25,9.09,9.10,4302600,8.715758
2016-01-07,8.99,9.13,8.96,9.06,4284900,8.677447
2016-01-06,9.16,9.21,9.11,9.15,2657700,8.763646
2016-01-05,9.36,9.39,9.25,9.28,3571800,8.888157
2016-01-04,9.51,9.52,9.31,9.49,4038900,9.08929
2015-12-31,9.66,9.68,9.60,9.61,1459200,9.204223
2015-12-30,9.77,9.81,9.71,9.73,1437100,9.319156
2015-12-29,9.83,9.86,9.77,9.84,2654200,9.424512
2015-12-28,9.75,9.79,9.70,9.74,2852600,9.328734
2015-12-24,9.79,9.86,9.73,9.82,813600,9.405356
2015-12-23,9.66,9.80,9.65,9.79,2480600,9.376623
2015-12-22,9.48,9.59,9.47,9.58,1978100,9.17549
2015-12-21,9.77,9.79,9.42,9.51,7069100,9.108446
2015-12-18,9.14,9.18,9.10,9.13,2597300,8.744491
2015-12-17,9.23,9.26,9.14,9.16,3149400,8.773224
2015-12-16,9.21,9.29,9.13,9.28,3163900,8.888157
2015-12-15,9.00,9.06,8.96,9.02,3804300,8.639136
2015-12-14,8.92,8.99,8.87,8.90,3658700,8.524202
2015-12-11,9.07,9.08,8.94,8.95,5148800,8.572091
2015-12-10,9.16,9.19,9.09,9.13,2692700,8.744491
2015-12-09,9.25,9.37,9.13,9.19,3365700,8.801957
2015-12-08,9.41,9.47,9.28,9.32,3861500,8.926468
2015-12-07,9.66,9.70,9.60,9.63,2318500,9.223379
2015-12-04,9.54,9.65,9.54,9.64,2596800,9.232957
2015-12-03,9.80,9.81,9.61,9.64,3573600,9.232957
2015-12-02,9.51,9.62,9.49,9.54,2366400,9.137179
2015-12-01,9.54,9.55,9.47,9.53,3867200,9.127601
2015-11-30,9.71,9.75,9.67,9.69,2613200,9.280845
2015-11-27,9.61,9.62,9.57,9.57,1324600,9.165912
